iter	Passed	Remaining
599	52824	35216
600	52910	35127
601	53010	35046
602	53113	34968
603	53199	34879
604	53307	34804
605	53392	34713
606	53475	34622
607	53568	34537
608	53653	34447
609	53748	34363
610	53844	34280
611	53929	34190
612	54022	34105
613	54105	34014
614	54201	33931
615	54307	33854
616	54384	33759
617	54467	33667
618	54543	33572
619	54627	33481
620	54728	33401
621	54819	33314
622	54921	33235
623	55002	33142
624	55081	33048
625	55161	32955
626	55245	32865
627	55336	32778
628	55430	32694
629	55516	32604
630	55599	32513
631	55683	32423
632	55777	32338
633	55866	32251
634	55964	32168
635	56058	32083
636	56148	31996
637	56236	31908
638	56332	31825
639	56424	31738
640	56519	31654
641	56616	31571
642	56706	31483
643	56792	31394
644	56886	31309
645	56977	31222
646	57064	31133
647	57149	31044
648	57235	30954
649	57326	30868
650	57414	30779
651	57506	30693
652	57595	30605
653	57680	30515
654	57785	30436
655	57876	30349
656	57972	30265
657	58063	30179
658	58151	30090
659	58235	30000
660	58322	29911
661	58410	29822
662	58500	29735
663	58583	29644
664	58676	29558
665	58764	29470
666	58853	29382
667	58941	29294
668	59028	29205
669	59120	29119
670	59206	29029
671	59283	28935
672	59369	28846
673	59468	28763
674	59558	28676
675	59658	28593
676	59725	28495
677	59810	28405
678	59893	28314
679	59977	28224
680	60054	28131
681	60145	28044
682	60226	27952
683	60316	27865
684	60398	27774
685	60490	27688
686	60587	27603
687	60678	27516
688	60760	27425
689	60849	27338
690	60942	27252
691	61029	27163
692	61120	27076
693	61206	26987
694	61282	26893
695	61366	26803
696	61452	26714
697	61528	26621
698	61623	26536
699	61713	26448
700	61792	26356
701	61875	26266
702	61970	26181
703	62077	26100
704	62168	26013
705	62238	25918
706	62337	25834
707	62431	25748
708	62513	25657
709	62600	25569
710	62682	25478
711	62762	25387
712	62845	25296
713	62932	25208
714	63017	25118
715	63113	25033
716	63214	24950
717	63303	24863
718	63394	24775
719	63472	24683
720	63564	24596
721	63645	24506
722	63734	24418
723	63827	24331
724	63911	24242
725	64007	24157
726	64104	24072
727	64190	23983
728	64288	23898
729	64381	23812
730	64465	23722
731	64569	23640
732	64664	23554
733	64721	23455
734	64805	23365
735	64890	23275
736	64981	23188
737	65071	23101
738	65140	23006
739	65226	22917
740	65322	22832
741	65412	22744
742	65507	22658
743	65599	22572
744	65683	22482
745	65769	22393
746	65866	22308
747	65950	22218
748	66044	22132
749	66139	22046
750	66223	21956
751	66305	21866
752	66401	21781
753	66490	21693
754	66583	21606
755	66661	21515
756	66762	21430
757	66846	21341
758	66933	21252
759	67028	21166
760	67116	21078
761	67199	20988
762	67287	20900
763	67381	20814
764	67465	20724
765	67557	20637
766	67654	20552
767	67733	20461
768	67822	20373
769	67906	20283
770	67972	20189
771	68051	20098
772	68139	20009
773	68219	19919
774	68301	19829
775	68380	19738
776	68473	19652
777	68564	19564
778	68652	19476
779	68744	19389
780	68835	19302
781	68928	19215
782	69028	19130
783	69119	19043
784	69219	18958
785	69311	18871
786	69399	18782
787	69484	18693
788	69566	18603
789	69661	18517
790	69743	18427
791	69832	18339
792	69919	18251
793	70006	18162
794	70081	18071
795	70173	17984
796	70252	17893
797	70343	17806
798	70437	17719
799	70534	17633
800	70613	17543
801	70715	17458
802	70807	17371
803	70910	17286
804	70988	17196
805	71067	17105
806	71162	17019
807	71258	16932
808	71349	16845
809	71444	16758
810	71536	16671
811	71624	16583
812	71718	16496
813	71812	16409
814	71892	16319
815	71983	16231
816	72074	16143
817	72160	16055
818	72247	15966
819	72339	15879
820	72437	15793
821	72508	15701
822	72611	15616
823	72709	15530
824	72793	15441
825	72880	15352
826	72978	15266
827	73078	15180
828	73172	15093
829	73270	15007
830	73348	14916
831	73440	14829
832	73528	14740
833	73613	14652
834	73698	14563
835	73802	14478
836	73880	14387
837	73970	14299
838	74061	14211
839	74162	14126
840	74234	14034
841	74320	13946
842	74412	13858
843	74498	13769
844	74593	13682
845	74690	13596
846	74760	13504
847	74850	13416
848	74928	13326
849	75014	13237
850	75112	13151
851	75204	13063
852	75274	12972
853	75354	12882
854	75446	12795
855	75534	12706
856	75621	12618
857	75703	12529
858	75792	12440
859	75893	12354
860	75985	12267
861	76067	12177
862	76167	12091
863	76256	12003
864	76338	11914
865	76427	11825
866	76516	11737
867	76596	11648
868	76697	11562
869	76796	11475
870	76873	11385
871	76960	11296
872	77055	11209
873	77144	11121
874	77236	11033
875	77330	10946
876	77434	10860
877	77505	10769
878	77600	10682
879	77695	10594
880	77797	10508
881	77882	10419
882	77951	10328
883	78050	10241
884	78132	10152
885	78214	10063
886	78300	9975
887	78396	9887
888	78485	9799
889	78560	9709
890	78643	9620
891	78714	9530
892	78804	9442
893	78896	9354
894	78986	9266
895	79075	9178
896	79165	9090
897	79234	8999
898	79325	8911
899	79431	8825
900	79522	8737
901	79612	8649
902	79686	8559
903	79764	8470
904	79850	8382
905	79937	8293
906	80036	8206
907	80122	8118
908	80206	8029
909	80284	7940
910	80375	7852
911	80459	7763
912	80546	7675
913	80643	7587
914	80734	7499
915	80825	7411
916	80917	7324
917	81018	7236
918	81118	7149
919	81215	7062
920	81307	6974
921	81384	6885
922	81466	6796
923	81558	6708
924	81644	6619
925	81739	6532
926	81832	6444
927	81931	6356
928	82019	6268
929	82107	6180
930	82183	6090
931	82287	6003
932	82362	5914
933	82458	5826
934	82550	5738
935	82645	5650
936	82733	5562
937	82818	5474
938	82914	5386
939	83001	5297
940	83089	5209
941	83188	5122
942	83268	5033
943	83349	4944
944	83438	4856
945	83525	4767
946	83619	4679
947	83711	4591
948	83791	4503
949	83882	4414
950	83969	4326
951	84051	4237
952	84136	4149
953	84220	4060
954	84303	3972
955	84382	3883
956	84474	3795
957	84569	3707
958	84650	3619
959	84736	3530
960	84835	3442
961	84929	3354
962	85032	3267
963	85114	3178
964	85199	3090
965	85294	3002
966	85379	2913
967	85471	2825
968	85563	2737
969	85646	2648
970	85751	2561
971	85831	2472
972	85911	2383
973	85989	2295
974	86068	2206
975	86168	2118
976	86263	2030
977	86361	1942
978	86443	1854
979	86537	1766
980	86622	1677
981	86715	1589
982	86800	1501
983	86890	1412
984	86985	1324
985	87069	1236
986	87153	1147
987	87243	1059
988	87342	971
989	87419	883
990	87510	794
991	87594	706
992	87690	618
993	87781	529
994	87872	441
995	87942	353
996	88036	264
997	88121	176
998	88203	88
999	88295	0
