number,value,params_alpha,params_colsample_bytree,params_device,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
15,0.28733119153539616,0.14985034132974137,0.44551316625508847,cuda,logloss,1.6053837077563844,0.02002585969873905,6,211,binary:logistic,0.6569453251823256,hist,COMPLETE
16,0.2863868437685977,2.6848577483085427,0.4407076916166473,cuda,logloss,2.8152278973858236,0.006062899661394101,11,286,binary:logistic,0.6537922880202109,hist,COMPLETE
17,0.2760295119091933,0.03041057721933341,0.44454322075305985,cuda,logloss,1.3300244751782921,0.0012605617595431253,16,223,binary:logistic,0.6994546516614731,hist,COMPLETE
18,0.2786806423110431,0.0011186146917878841,0.41041033248006953,cuda,logloss,2.229078159076269,0.015696511085141977,24,262,binary:logistic,0.5157574743446149,hist,COMPLETE
19,0.28472420439321133,0.32396337496336725,0.5715172625074378,cuda,logloss,0.8587072081898993,0.007794622908558166,6,186,binary:logistic,0.6509010912342856,hist,COMPLETE
20,0.2731542276310168,3.033155440754703,0.39530863311709313,cuda,logloss,3.113559685547586,0.002386302397791247,7,208,binary:logistic,0.7391838712449197,hist,COMPLETE
21,0.28672053252751034,1.7909205791958944,0.4671264048580107,cuda,logloss,4.082537926806984,0.0064344843507920845,11,299,binary:logistic,0.6365788988538501,hist,COMPLETE
22,0.2867928357960408,1.0370578726232815,0.48536691240953106,cuda,logloss,9.764366002473562,0.008775088189299993,12,265,binary:logistic,0.6425535818123821,hist,COMPLETE
23,0.2843614255423692,0.7764584848885996,0.5846919535135015,cuda,logloss,8.713142562763863,0.009638576762088341,15,251,binary:logistic,0.7121786356398782,hist,COMPLETE
24,0.27977672735889025,0.07508473558600924,0.3807222847199605,cuda,logloss,9.088292405541257,0.021022071360132136,12,265,binary:logistic,0.5109169447801714,hist,COMPLETE
25,0.2840406545859277,0.016971132557019247,0.5111515063959204,cuda,logloss,4.0885173419067025,0.01528234778607253,9,154,binary:logistic,0.6224611504899993,hist,COMPLETE
26,0.27503197113915406,0.17130802637738318,0.30519276964707914,cuda,logloss,1.1031421785692685,0.009633245883337561,3,217,binary:logistic,0.5365549988430127,hist,COMPLETE
27,0.28281125645344507,9.9746693019911,0.607610052298636,cuda,logloss,0.7867577212647747,0.003945533574610184,14,182,binary:logistic,0.662786314099362,hist,COMPLETE
28,0.21974964222769977,3.3518870988187803,0.48858345198096303,cuda,logloss,1.9545113151017957,0.09998135682289669,10,272,binary:logistic,0.7713399225758076,hist,COMPLETE
29,0.24636924514387484,0.293446324868592,0.39392852652258675,cuda,logloss,0.3039682857613373,0.029041274890343725,20,233,binary:logistic,0.8886603921160956,hist,COMPLETE
30,0.283223226185502,0.5434210343014869,0.6215587874721598,cuda,logloss,5.482185009015813,0.004522013557170978,19,239,binary:logistic,0.6839027391140605,hist,COMPLETE
31,0.28721203963250924,1.4092920300505807,0.4632201487993339,cuda,logloss,4.353108314767687,0.007030900613903337,11,283,binary:logistic,0.6242722377554848,hist,COMPLETE
32,0.28479346150307255,1.7129274246224448,0.45777336624968046,cuda,logloss,0.6040886252955426,0.01165574987476193,13,248,binary:logistic,0.5996232663328092,hist,COMPLETE
33,0.2696049600912498,0.9348290696804353,0.5611650271966331,cuda,logloss,4.167775593992971,0.0019391601836950417,7,275,binary:logistic,0.4034888456640329,hist,COMPLETE
34,0.28633275604666825,4.803880343484968,0.36843418877384515,cuda,logloss,2.1208624646936425,0.007175280101605306,12,207,binary:logistic,0.6078504887577116,hist,COMPLETE
35,0.2851205707200066,1.4492398052034345,0.4295101502629233,cuda,logloss,9.740568577301282,0.01836703164427465,8,168,binary:logistic,0.5650453661285904,hist,COMPLETE
36,0.28578697250257457,0.01601460702548464,0.4947116044376456,cuda,logloss,5.317356631934101,0.008550995440986352,14,300,binary:logistic,0.7358142482641189,hist,COMPLETE
37,0.28612472077024875,0.08201559145201531,0.3457997948858549,cuda,logloss,0.39675500662016266,0.012090019609822266,10,194,binary:logistic,0.6653723813275053,hist,COMPLETE
