number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
85,1253.898536643797,0.0017118354758580057,0.7441775361592985,rmse,0.033672437835544654,1.9382490097964489,0.0014774897951158946,21,157,0.7515480527449581,COMPLETE
86,1170.7787509288733,0.0023786476053166607,0.4266614465351174,rmse,0.22773776355653705,3.2819511709732976,0.010408545045322097,19,104,0.6910930314992736,COMPLETE
87,1172.0518666640703,0.0024245185364781202,0.4213671221762231,rmse,0.1644885802349615,0.01054877846744512,0.010105588825507442,23,131,0.6905874217411092,COMPLETE
88,1170.9894266229337,0.001082898269288372,0.5012701905893251,rmse,0.10805900146079281,8.133706665808056,0.011923896625352051,19,120,0.713285501003511,COMPLETE
89,1172.085605619176,0.0012064376874891035,0.5059605040351239,rmse,0.10865373282520041,8.56731550180918,0.0162458065611867,19,104,0.646683448232108,COMPLETE
90,1171.0058314031887,0.001620467524127147,0.4420671119697964,rmse,0.05934587059610954,3.143021474158029,0.012796684578845623,20,120,0.7634143445096931,COMPLETE
91,1171.1138745386359,0.0010533024521028435,0.4396166852925541,rmse,0.06173444073119324,3.318611048319698,0.011719214078454483,20,117,0.7179682879212189,COMPLETE
92,1171.2269523911943,0.0010103971985575204,0.445981328902259,rmse,0.02270963221105076,3.2789004881719253,0.012137587956269891,20,123,0.719087947873029,COMPLETE
93,1171.4353439544495,0.0015824827028977835,0.4756288188095526,rmse,0.022044228470723043,3.2554587513540194,0.011733438309332794,20,123,0.7165620187961961,COMPLETE
94,1171.0218812424434,0.0010194384884005944,0.4474074709506945,rmse,0.0715109117786544,4.375894318700921,0.01241723096326583,21,116,0.7638180924042389,COMPLETE
95,1171.1233057581198,0.001001879703896562,0.499429471308215,rmse,0.008313448364212153,7.384008932854219,0.00958303664534401,21,113,0.7605437359763628,COMPLETE
96,1170.6197927955322,0.0010045439598210168,0.5351091211567696,rmse,0.008807506781199142,7.395913600361534,0.010392065358000269,22,90,0.7630386527212957,COMPLETE
97,1172.1515457633614,0.0010020378139568061,0.5288555845424647,rmse,0.008868869459481907,7.4672052895895265,0.007072661464019867,22,89,0.7606136747818497,COMPLETE
98,1170.6741116048215,0.0022435624595512228,0.5366253367836262,rmse,0.0078397369367216,5.629586419009731,0.009780030771676005,22,100,0.7609474066748716,COMPLETE
99,1170.838136800909,0.002199453566095216,0.545764317059689,rmse,0.0630057946623057,5.009084437872529,0.011066625281235443,22,102,0.7930277925073193,COMPLETE
100,1170.8670207631108,0.002577242049314626,0.5386170786941104,rmse,0.048276450172349696,5.7161641398604175,0.010217537468822615,24,101,0.7916878198587615,COMPLETE
101,1171.5202071351262,0.0022653490537170805,0.552447516402374,rmse,0.0487147759938287,5.153784009701602,0.010483521058699905,25,103,0.8060046758654015,COMPLETE
102,1170.8291256154441,0.0014324232852962221,0.5412728210020548,rmse,0.0014307281300053958,5.761199804011024,0.009040975077588461,24,95,0.7850653030243033,COMPLETE
103,1171.5273380827548,0.0014129149885801912,0.5802370285399364,rmse,0.001346686033049954,5.688137987026866,0.008161642470457057,24,96,0.7807468626795252,COMPLETE
104,1172.9048585703308,0.0021560437896245436,0.5351869887956007,rmse,0.004627107221747873,9.73760225659211,0.0061241278306405035,24,78,0.7847902161924557,COMPLETE
105,1171.6668911568843,0.002591232612187224,0.6103711599792832,rmse,0.03899286319334103,4.1675321029721255,0.009437036435570331,22,101,0.7666109204696343,COMPLETE
106,1171.0909580668817,0.0015415479753631029,0.5147338943500563,rmse,0.0010289940532027158,6.181111529010222,0.008187293243457839,23,91,0.7915619558022606,COMPLETE
107,1171.9619459830456,0.004366064846423425,0.563390141397771,rmse,0.08129277036653758,4.3915556539713805,0.012851431054533588,24,108,0.7454105152310068,COMPLETE
