number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
32,1138.8916709797015,0.00571386613263999,0.7738369654778954,rmse,0.05289758030871718,0.018993241800385682,17,143,0.957519021042248,COMPLETE
33,1139.035763839135,0.0019713638459153775,0.7079935817710096,rmse,0.4247518448341667,0.026640330196698384,7,103,0.9496889739472233,COMPLETE
34,1139.2605553224503,0.004389410129874172,0.8425343030635624,rmse,0.17149922703688325,0.009486518309286936,14,77,0.8943747244815724,COMPLETE
35,1138.0133974223843,0.0019278453020606268,0.7611829989731654,rmse,0.07625955889537159,0.026911216191660908,11,151,0.9913639711139536,COMPLETE
36,1137.9969617942625,0.009446468158075799,0.6561355891895093,rmse,0.029496606633913718,0.017465942076829024,15,97,0.825818918927979,COMPLETE
37,1175.333368764415,0.02578897409990934,0.9392624547317652,rmse,0.30209347947451914,0.004750454789855381,13,119,0.8934009557706525,COMPLETE
38,1138.7748960496592,0.09144300471487153,0.45758591984062413,rmse,0.008470951410707611,0.011108425945299658,10,67,0.9625153393415774,COMPLETE
39,1234.7099147568615,0.002749910759575163,0.7137463456853865,rmse,0.14008118510840756,0.007087715487622726,3,174,0.40609051620251724,COMPLETE
40,1139.9520729166084,0.006314817311309761,0.5263460805891862,rmse,0.01714977564710289,0.041445737382479864,7,35,0.8504390783894547,COMPLETE
41,1137.681041613548,0.01293201692778239,0.8440106907616827,rmse,0.2174660492988876,0.014897561104079195,13,131,0.9189131830491819,COMPLETE
42,1137.6835845317783,0.011150076849780356,0.7968379508471125,rmse,0.24058028227092887,0.016659408598722822,17,137,0.9342013355142114,COMPLETE
43,1137.9001216682968,0.012650118697177724,0.8193515663582392,rmse,0.4052868223776816,0.016278282179255903,18,139,0.9219806277745681,COMPLETE
44,1136.7884823547172,0.0015456988132174047,0.7925377370665911,rmse,0.09554762404710387,0.021273086911681265,12,194,0.9029811642998629,COMPLETE
45,1139.510243150375,0.0016609418785386158,0.8540287927261588,rmse,0.09088391586404235,0.02231202177034965,12,196,0.6297611782834742,COMPLETE
46,1139.519872770885,0.002524816349981043,0.8465189535624097,rmse,0.03938552827106317,0.03277963942363259,12,225,0.8924500716598895,COMPLETE
47,1137.7155341986881,0.004954890809374647,0.932107740527899,rmse,0.9983647793697306,0.02544252649537383,10,158,0.7572827055103705,COMPLETE
48,3047.04100495019,0.0013733128708678997,0.7767594319559855,rmse,0.12299954602020684,0.0010305459403880544,15,176,0.8129407140151804,COMPLETE
49,1147.421333882992,0.006413234501327296,0.6822064091479113,rmse,0.0738595817561969,0.008610270059295152,10,256,0.9883756389606057,COMPLETE
50,1146.998477443941,0.01799879799143096,0.7271822641293464,rmse,2.6117891753305136,0.05462847331878921,13,194,0.866346173015208,COMPLETE
51,1137.8680045927704,0.008050451420484899,0.8028484838157336,rmse,0.26757486950391796,0.01502223612760041,17,130,0.9338136920723868,COMPLETE
52,1137.112044977196,0.030379575976516447,0.7927224605781992,rmse,0.4922883074581083,0.019002861073685755,14,148,0.9057566942937283,COMPLETE
53,1138.6729254720688,0.07462836994450318,0.8688237770723981,rmse,0.4858343422875499,0.020918231995258448,14,108,0.9108384561009633,COMPLETE
54,1138.4509737646085,0.02377604819009742,0.7748431870172071,rmse,0.8943810743311297,0.012558367308558712,12,151,0.9741196885469983,COMPLETE
55,1138.3187834298205,0.0022529949865980332,0.8336801302097825,rmse,1.437150714270726,0.02916406631686792,11,120,0.8519907989298123,COMPLETE
56,1149.8980618727403,0.039776552235291585,0.7436083460935058,rmse,0.10793292403827524,0.03913147490040489,15,90,0.9082124630826507,COMPLETE
57,1140.2450108086139,0.028520351998699376,0.9286055861691209,rmse,0.7383582796798616,0.023324890985160586,13,126,0.5146420986874782,COMPLETE
58,1137.7493858192186,0.13986180863621064,0.8242061516106696,rmse,0.2949805117624231,0.0192668272671665,11,215,0.8717379516652742,COMPLETE
59,1143.5773643112097,0.795880743110888,0.8713924950738207,rmse,0.1834568680597778,0.014364567396339366,8,186,0.7311057103888181,COMPLETE
60,1956.1960606758673,0.004280775128653688,0.797971383826174,rmse,0.4873984392645679,0.002302193531915552,14,162,0.8382398486011942,COMPLETE
61,1136.85811815159,0.01414484612496075,0.7586201386133784,rmse,0.24031974505029036,0.017472793660307878,14,139,0.9413616986360815,COMPLETE
62,1137.7803678684977,0.014844171947470855,0.7497274576469874,rmse,0.35735427301988393,0.011299983878237172,14,150,0.886486235003075,COMPLETE
63,1142.8245076843327,0.007852037664503323,0.6940566833085469,rmse,0.0015697859247356199,0.007800490789864661,12,115,0.9969958676594235,COMPLETE
64,1137.0749413171595,0.0033123153362854163,0.7210435508744726,rmse,0.06639169533107964,0.013796140392666687,13,170,0.9331894127870056,COMPLETE
65,1137.015390186425,0.0031421494715840434,0.7150130939088144,rmse,0.06764049729800323,0.019740276395450212,16,168,0.9430443996223463,COMPLETE
66,1136.6338119374311,0.0014887306419031938,0.7217433702875327,rmse,0.039597471931601784,0.019206335759387134,15,203,0.97699598326441,COMPLETE
67,1140.5837070770242,0.0013901993352232033,0.6693927517659546,rmse,0.034977535432626265,0.03546902525318262,16,207,0.9719154828872707,COMPLETE
68,1136.5006757946435,0.001097637447298348,0.6253400372119904,rmse,0.017285859147167952,0.02418895665986545,15,234,0.9713853193486081,COMPLETE
69,1138.6554883976237,0.001103660225556432,0.6374971927258658,rmse,0.019246642033755996,0.024337538788248292,20,228,0.9723090440415608,COMPLETE
70,1138.7824094275202,0.001658136772164687,0.7213305709722884,rmse,0.004864468983798735,0.02742307257267495,18,267,0.9519586307302417,COMPLETE
71,1136.4197046238621,0.0022218419876761444,0.6217967210357711,rmse,0.06579841293152455,0.020502559463143947,15,237,0.9115659647473086,COMPLETE
72,1136.471897795032,0.0023118311771418054,0.6194256758924223,rmse,0.05887218277230915,0.02157711027312912,16,236,0.9315498147189045,COMPLETE
