number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
24,1173.2995131706653,0.010536897415883878,0.30255536970582,rmse,0.13601093037517328,0.020834778407359783,22,136,0.8628737469377716,COMPLETE
25,1185.8772217462129,0.005771560005165976,0.40685777311633897,rmse,0.45147055964644023,0.0433427326245438,17,91,0.8586798476439322,COMPLETE
26,1173.8291731856345,0.022707752895539696,0.43738851236782916,rmse,0.29395229984048715,0.02377558412867326,17,210,0.7459526260300204,COMPLETE
27,1171.0737560872294,0.004790041066368291,0.5022457851358597,rmse,0.055382187300795846,0.009597203380313418,20,144,0.9421799997378759,COMPLETE
28,1179.7558275767135,0.0041698292678444635,0.49959173222423425,rmse,0.04777791535313364,0.004105197011884266,21,159,0.9397750316394266,COMPLETE
29,1173.1042267896687,0.0014713129761446443,0.5158818858627691,rmse,0.013131381958170263,0.008362579714203185,23,187,0.9957387689832322,COMPLETE
30,1176.3497793070935,0.0025328883458812126,0.415410279974342,rmse,0.09382601920547211,0.004378108085867985,21,102,0.9167459178343058,COMPLETE
31,1196.665460281632,0.020007644931252146,0.6004067574656877,rmse,0.00102488255262297,0.0021344768805801797,14,147,0.8199435886991235,COMPLETE
32,1171.5426526794201,0.009774305447652913,0.34514267514094193,rmse,0.9265432091033857,0.015569620635305358,17,222,0.8574280052548608,COMPLETE
33,1171.4760515604569,0.005849708516078337,0.3667228247260975,rmse,1.1640516767536306,0.016238775283131956,19,211,0.8794951406059042,COMPLETE
34,1170.9868233506043,0.0045794011549166,0.3793831234156657,rmse,4.808093312140617,0.011703345913609586,19,173,0.9256461488334254,COMPLETE
35,1172.1587695083283,0.053171573390607955,0.5629222145953318,rmse,4.3942352306295716,0.010905766073686872,20,178,0.942984901725403,COMPLETE
36,1176.0674514154634,0.0029067091624183083,0.6256974867419655,rmse,5.08288291342343,0.03318794004257186,15,256,0.7723510971518289,COMPLETE
37,1177.9661795236043,0.016376559100122385,0.46243649456449304,rmse,9.116964062237901,0.006571904435987619,22,232,0.9711445774233858,COMPLETE
38,1171.6703493722134,0.0386795420452426,0.40737713311670254,rmse,0.20333840039559678,0.009451812113839877,18,167,0.9273779503225541,COMPLETE
39,1173.5481506907447,0.001977733251089042,0.5343032512232488,rmse,0.07341541392714414,0.02690219512360406,13,193,0.7178660574570519,COMPLETE
40,1170.8987210551552,0.085113442256388,0.3899209639279323,rmse,0.018566521628527868,0.018635387701250925,20,148,0.8866984650737613,COMPLETE
41,1172.9800819234063,0.07515504277069344,0.38032990449662035,rmse,0.005652548190256812,0.018946237476855296,24,147,0.8182495692870625,COMPLETE
42,1170.3326770028928,0.0050559721885853216,0.43043304394234777,rmse,0.021384904365845843,0.013055707491365748,20,77,0.8902180612199933,COMPLETE
43,1169.9136043005358,0.00461241865578986,0.30466869597262747,rmse,0.024389257218681012,0.011293850656650103,20,88,0.9008731515349537,COMPLETE
44,1174.4613543372204,0.005015446973946744,0.38024942389543975,rmse,0.023345475719853896,0.005122432132780886,20,73,0.9005573067202973,COMPLETE
45,1172.2901633580573,0.0038840778776716503,0.48531562282834867,rmse,0.007760180264086342,0.012333991031751666,22,50,0.887897732722103,COMPLETE
46,1169.7049763502537,0.0017978447675607925,0.44794335463494983,rmse,0.013056725915041282,0.010634840805475615,21,74,0.9676595849241707,COMPLETE
47,1183.1290418894741,0.0011257832248611828,0.3339797829374336,rmse,0.003371005712896888,0.003110345242601344,25,79,0.9814586428796123,COMPLETE
48,1173.2812430564188,0.02981784646877659,0.4482432870364848,rmse,0.011644953904724236,0.007493939443274247,23,31,0.9169775035462591,COMPLETE
49,1174.3928164668362,0.001756017760962764,0.6831252146523215,rmse,0.027482535034692234,0.01400740893630259,21,58,0.6698424461744609,COMPLETE
50,1182.9728151114327,0.007116874701979186,0.3359250600297621,rmse,0.01399540102124478,0.01092351404135083,19,10,0.9673975118721183,COMPLETE
51,1178.5972562891923,0.003154479043487048,0.3994405855831275,rmse,0.006875554833141186,0.031805890123422303,18,102,0.8222361393587019,COMPLETE
