number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,params_tree_method,state
17,0.9758333333333333,0.004057082260390456,0.9123980178429907,logloss,0.007788432834825927,0.025488091632417786,7,29,0.6034215076760324,gpu_hist,COMPLETE
18,0.97315,2.5352963937356647,0.7937050625008588,logloss,0.028858970920762263,0.0692008133829825,15,159,0.5554832076927572,gpu_hist,COMPLETE
19,0.9731166666666666,0.36430714037023504,0.6425078336774861,logloss,0.0028361047573476766,0.011444157149424447,17,69,0.8329661623364779,gpu_hist,COMPLETE
20,0.9747666666666667,0.04210957091809519,0.7709447692182201,logloss,0.14110254033750064,0.025086273215234843,11,2,0.9848459493239241,gpu_hist,COMPLETE
21,0.9759166666666667,0.0036913215288661336,0.6971374936601762,logloss,7.653336804684615,0.030192494536498846,13,42,0.5010837342307193,gpu_hist,COMPLETE
22,0.9757833333333333,0.012125351104456741,0.5866202072649259,logloss,0.27672141864456784,0.01928439213933956,13,32,0.44221578022343855,gpu_hist,COMPLETE
23,0.9761666666666666,0.011893916408534173,0.7208417453704071,logloss,0.01680479037060089,0.06303004730401048,13,59,0.5197664716318786,gpu_hist,COMPLETE
24,0.9767666666666667,0.05561909474606543,0.8912137674400481,logloss,0.07472439477783126,0.0401902429209686,9,22,0.4440230000200107,gpu_hist,COMPLETE
25,0.9742166666666666,0.23883227618830732,0.9931571331704835,logloss,0.06292302450950639,0.03867418305203644,7,81,0.4210420126870445,gpu_hist,COMPLETE
26,0.97695,0.07096381651852347,0.8885015952213485,logloss,0.09756664715770665,0.08566279476375299,9,15,0.6518996855414826,gpu_hist,COMPLETE
27,0.9773,0.07278966320263673,0.9070332781018939,logloss,0.01796505005143076,0.07288935828684842,9,21,0.6851919249007955,gpu_hist,COMPLETE
28,0.9707833333333333,0.07525862050001252,0.9441094597216355,logloss,0.017347483148812664,0.07610142365896638,9,298,0.6549498349514746,gpu_hist,COMPLETE
29,0.9752833333333333,1.0611414162156871,0.8119212031591454,logloss,0.0038607520735064486,0.08143564076861551,9,123,0.6956527598514456,gpu_hist,COMPLETE
30,0.9745333333333334,0.2719482766190945,0.36887840918046205,logloss,0.015148143523985988,0.09592624684480994,9,153,0.6203718165202186,gpu_hist,COMPLETE
31,0.9770833333333333,0.06715992262233815,0.8776791967357688,logloss,0.12225028776638829,0.05107756130982601,9,20,0.6995868486696517,gpu_hist,COMPLETE
32,0.9764333333333334,0.13031671165937378,0.9469406180619466,logloss,0.12490505827199076,0.052925794398112784,9,51,0.6910365364945591,gpu_hist,COMPLETE
33,0.97715,0.09383784897272789,0.8883556848275036,logloss,0.3100421275288983,0.06829680719473455,9,20,0.7564451859259195,gpu_hist,COMPLETE
34,0.97655,0.13682116681878098,0.9807375638972687,logloss,0.37942558727905945,0.051775284373704454,9,28,0.7895922403889541,gpu_hist,COMPLETE
35,0.9767,0.025948210407437052,0.8303696003880664,logloss,0.003997677845837546,0.06657506436780684,20,42,0.7318402860544005,gpu_hist,COMPLETE
36,0.9653,0.5746373359836653,0.7781305457653314,logloss,0.5984427961783706,0.012453597638630898,5,82,0.7687371734891695,gpu_hist,COMPLETE
37,0.9617,0.09185289348304321,0.9138798881535835,logloss,0.028538207688651434,0.007962449295781694,11,218,0.8362860815928711,gpu_hist,COMPLETE
38,0.9752,0.04756642687488476,0.9497613492666303,logloss,0.18294173297316024,0.09961535360991045,3,23,0.6818496398432676,gpu_hist,COMPLETE
39,0.9762833333333333,0.20620089691842794,0.7538233855278316,logloss,0.009591454453867124,0.02028081610598355,7,1,0.6251226878960934,gpu_hist,COMPLETE
40,0.9771166666666666,0.006299401596961976,0.6646579620211317,logloss,3.0429735470053347,0.0471053308892494,9,45,0.7435902871526892,gpu_hist,COMPLETE
41,0.9770166666666666,0.006442090614831571,0.6699846088548169,logloss,3.4340068827223886,0.04595317356842828,9,44,0.7462673738735963,gpu_hist,COMPLETE
42,0.9774333333333334,0.10057074864164374,0.7418235294637064,logloss,1.4405162982988884,0.06354501617877392,9,18,0.8649932415349448,gpu_hist,COMPLETE
43,0.9733666666666667,0.8955230203989764,0.6004658565880157,logloss,1.3896165089851429,0.03164348712896868,9,179,0.8610479243667023,gpu_hist,COMPLETE
44,0.9767166666666667,0.12138248684915416,0.740179653013339,logloss,3.4860823759132713,0.06526164451681202,5,58,0.9025326836606318,gpu_hist,COMPLETE
45,0.97715,0.0023996575073660757,0.6755942933885566,logloss,0.7081437895639531,0.07357963100545907,20,33,0.7747022998633631,gpu_hist,COMPLETE
46,0.9771166666666666,0.0011065737745509319,0.5274573308931307,logloss,0.7377198193828017,0.08074263495667106,20,15,0.8832997940375552,gpu_hist,COMPLETE
47,0.9478833333333333,0.002406158516632636,0.6214238314872381,logloss,1.339388647890665,0.0010985834695424034,20,74,0.7950668232048891,gpu_hist,COMPLETE
48,0.9542666666666667,3.422039219000461,0.8301653780073617,logloss,0.38451299310258663,0.0033683805765208773,20,96,0.7728777991817837,gpu_hist,COMPLETE
49,0.9773333333333334,0.018597643968538125,0.704501472784238,logloss,0.0012188841068069586,0.03184176948356988,7,32,0.9665623867956407,gpu_hist,COMPLETE
50,0.9769666666666666,0.0023802831280137554,0.6744779384661309,logloss,0.001282939596100378,0.031067921245011027,7,36,0.9559763886037952,gpu_hist,COMPLETE
51,0.9779833333333333,0.017202986804493912,0.7183614043719923,logloss,0.003728490334784765,0.06282608737830819,7,13,0.9941473817649291,gpu_hist,COMPLETE
52,0.97835,0.018576300699421858,0.7015829302167031,logloss,0.0030405284033201284,0.05985187169264094,7,9,0.9818310383152318,gpu_hist,COMPLETE
53,0.9784166666666667,0.01783727443806344,0.7164101755426591,logloss,0.0022579520357471224,0.057157122510855723,7,9,0.983911793227557,gpu_hist,COMPLETE
54,0.9778333333333333,0.015216162575552738,0.7022271375880937,logloss,0.002218013872420546,0.05966692947065835,7,10,0.9987749978566838,gpu_hist,COMPLETE
55,0.9779333333333333,0.0360311093366098,0.7377588030708355,logloss,0.0024357905598257684,0.059034859767342726,7,9,0.9986923983416827,gpu_hist,COMPLETE
56,0.9788,0.03344549265029924,0.7085644358977067,logloss,0.00212743737748313,0.05695553292459659,7,1,0.998973335533355,gpu_hist,COMPLETE
57,0.9783333333333334,0.031548729117487184,0.6220355908241691,logloss,0.004522972555905094,0.043759266051466635,7,11,0.9382473049589641,gpu_hist,COMPLETE
58,0.9787,0.008404057518955123,0.5509287864473735,logloss,0.004561464429673762,0.03984809097602061,7,2,0.9421870966890328,gpu_hist,COMPLETE
59,0.97735,0.009467590306309687,0.5374603667089646,logloss,0.005514913729448147,0.0417621137382129,7,56,0.9287769089367002,gpu_hist,COMPLETE
60,0.9756333333333334,0.008792784551305987,0.49011163640041394,logloss,0.0017257921496117749,0.01667034363968163,7,2,0.951077832384623,gpu_hist,COMPLETE
61,0.9779833333333333,0.02000473677485669,0.620076236932675,logloss,0.0037563050912812457,0.04423184304047363,7,11,0.9711971912070314,gpu_hist,COMPLETE
62,0.9786,0.02896646458563095,0.5667466853756272,logloss,0.005575627206223992,0.03642418314536517,7,1,0.9363738703106409,gpu_hist,COMPLETE
63,0.97685,0.04090226614782063,0.5567619451284833,logloss,0.005717511635595713,0.021703598475915877,7,6,0.9362223821985509,gpu_hist,COMPLETE
64,0.9773166666666666,0.027014792319331633,0.4854098596181499,logloss,0.010533109071648075,0.026226056318274033,7,30,0.9092316284960519,gpu_hist,COMPLETE
65,0.97345,0.030530512246348625,0.561918316585406,logloss,0.005402780059764967,0.035719194712202675,17,224,0.9515478893183058,gpu_hist,COMPLETE
66,0.9751333333333333,0.008820946857752648,0.6383260473719286,logloss,0.0015826123478542668,0.037702495287973856,15,2,0.97523311462813,gpu_hist,COMPLETE
67,0.9778666666666667,0.014151201958160267,0.43474953522654625,logloss,0.0027040422768957626,0.027704509882839908,7,25,0.8885571884540975,gpu_hist,COMPLETE
68,0.9779833333333333,0.0044827758257163335,0.6008440887937073,logloss,0.0019581861476795164,0.0875956395116841,7,40,0.9386949993555368,gpu_hist,COMPLETE
69,0.9773333333333334,0.03393736934755094,0.5719557202827751,logloss,0.006924504586743118,0.047402611011664854,7,48,0.9815460701783648,gpu_hist,COMPLETE
70,0.9705666666666667,0.022662473214438345,0.5137191082557768,logloss,0.0031288958157732927,0.053442343082372785,3,1,0.5481206307015307,gpu_hist,COMPLETE
71,0.978,0.020192566109035016,0.6167863507367641,logloss,0.004362843040353961,0.04288579597480434,7,13,0.9703115596072057,gpu_hist,COMPLETE
72,0.9776833333333333,0.01016499555708159,0.6537806506539101,logloss,0.01106893807901972,0.035319797944330926,7,14,0.9181645383805049,gpu_hist,COMPLETE
73,0.97645,0.052844040671498886,0.6879981785594502,logloss,0.004577543371768891,0.023478493651323054,7,26,0.9505173177394092,gpu_hist,COMPLETE
74,0.9781,0.01292778798495404,0.6206433507660399,logloss,0.0030899117979460242,0.05514100733193137,7,10,0.9694400599593069,gpu_hist,COMPLETE
75,0.9778333333333333,0.014538012513271146,0.7664407559948101,logloss,0.00138392333683647,0.05564413493105319,7,21,0.90179042467835,gpu_hist,COMPLETE
