number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,params_tree_method,state
14,0.9063333333333333,0.021518611535045563,0.8516016254901932,logloss,0.007110117904124381,0.018549232610839708,11,6,0.5696374221077656,gpu_hist,COMPLETE
15,0.8770166666666667,0.014999682624368424,0.9989449354450617,logloss,0.5899720300282584,0.015793205066207357,5,136,0.4856813452587038,gpu_hist,COMPLETE
16,0.8992166666666667,0.0017553763414046525,0.8782603694168026,logloss,6.624133080764633,0.027525693073476343,7,55,0.6221939115642059,gpu_hist,COMPLETE
17,0.8481333333333333,0.21562236953305355,0.6864758294904946,logloss,0.03835444529434436,0.0016199394771947752,15,58,0.5028636236986549,gpu_hist,COMPLETE
18,0.87235,0.20864861443856048,0.7545483385514797,logloss,0.004395955996032812,0.01037794673465232,11,124,0.44238324132229356,gpu_hist,COMPLETE
19,0.8410166666666666,0.0010434195459281296,0.6162280903689746,logloss,0.03380881566670577,0.002778864256707095,11,165,0.6335604783654065,gpu_hist,COMPLETE
20,0.9076333333333333,0.01615020679784759,0.9089377991214106,logloss,0.005353411377524416,0.09979900222577166,20,25,0.8358495789433027,gpu_hist,COMPLETE
21,0.9069333333333334,0.020460232026941284,0.9116782431618947,logloss,0.004979852797945477,0.08770198792989785,20,26,0.8237036486616102,gpu_hist,COMPLETE
22,0.9064,0.05198973308364026,0.9233714594532081,logloss,0.0029720536424413333,0.098590351136552,20,33,0.8412872353163943,gpu_hist,COMPLETE
23,0.90395,0.011088428528016891,0.9884968165044159,logloss,0.0025330516947224577,0.06234413478899539,20,64,0.8618434938860359,gpu_hist,COMPLETE
24,0.9063666666666667,0.1647047927223874,0.9309831333188796,logloss,0.038505297165664844,0.03376765036275951,20,28,0.7726178990985522,gpu_hist,COMPLETE
25,0.9022833333333333,0.006086246980283581,0.7904352891827651,logloss,0.001008851979192176,0.06335999950833175,20,90,0.8737833934094994,gpu_hist,COMPLETE
